Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
02/02/2022,220202DYNUQJ00,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Lý do khác,,
02/02/2022,220202E936BDYY,195243607823,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,39,1,2690000,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/02/2022,220202E936BDYY,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/02/2022,220202E936BDYY,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/02/2022,220202EC1B76RE,4573103657830,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-BK - ĐEN (BẢN CẢI TIẾN),L [27CM-29cm],1,420000,3t7alzqnwz,Thanh toán khi nhận hàng,Đà Nẵng,,,,10/02/2022
02/02/2022,220202EC1B76RE,4064047303971,ADIDAS X SPEEDFLOW.1 TF - FY3281 - TRẮNG/ĐỎ CAMO,44,1,2890000,3t7alzqnwz,Thanh toán khi nhận hàng,Đà Nẵng,,,,10/02/2022
02/02/2022,220202EUUQSR0B,4062062605186,BÓNG ADIDAS TIRO LEAGUE TB - FS0376 - TRẮNG/XANH,SIZE 5,1,490000,nguyenhoanglong1292008,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/02/2022,220202EVJQ4P57,4062062605186,BÓNG ADIDAS TIRO LEAGUE TB - FS0376 - TRẮNG/XANH,SIZE 5,1,490000,buoityuii,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
03/02/2022,220203FJ069CVA,0115483000002,ÁO TẬP LUYỆN GRAND SPORT ĐỘI TUYỂN VIỆT NAM 2021 - 011-548 - ĐỎ,M,1,259000,duc1212009,Thanh toán khi nhận hàng,Bà Rịa - Vũng Tàu,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
03/02/2022,220203G00W0NW6,195243607816,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,38.5,1,2690000,lambuithi,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
03/02/2022,220203G00W0NW6,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,lambuithi,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
03/02/2022,220203G00W0NW6,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,lambuithi,Thanh toán khi nhận hàng,Kon Tum,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
03/02/2022,220203G03KJRC3,195243607854,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,41,1,2690000,lambuithi,Thanh toán khi nhận hàng,Kon Tum,,,,11/02/2022
03/02/2022,220203G03KJRC3,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,lambuithi,Thanh toán khi nhận hàng,Kon Tum,,,,11/02/2022
03/02/2022,220203G03KJRC3,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,lambuithi,Thanh toán khi nhận hàng,Kon Tum,,,,11/02/2022
03/02/2022,220203GD43EEK2,195243607816,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,38.5,1,2690000,Go85,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
03/02/2022,220203GE5AU0EU,195243607823,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,39,1,2690000,Go85,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
03/02/2022,220203GPBAHDR2,195243607823,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,39,1,2690000,Go85,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
03/02/2022,220203GQNMQQQ4,4064047326758,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,40,1,1750000,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
03/02/2022,220203GQNMQQQ4,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
03/02/2022,220203GQNMQQQ4,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
03/02/2022,220203GQUGVX79,4064047326703,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,40 2/3,1,1750000,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,,,,09/02/2022
03/02/2022,220203GQUGVX79,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,,,,09/02/2022
